order_item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001,ORD00140,PROD0177,3,1165.22,0
ITEM00002,ORD00504,PROD0485,4,1032.09,49
ITEM00003,ORD00441,PROD0409,3,795.76,50
ITEM00004,ORD00008,PROD0281,3,5969.29,35
ITEM00005,ORD00448,PROD0203,2,5560.17,47
ITEM00006,ORD00662,PROD0200,4,1340.84,5
ITEM00007,ORD00433,PROD0321,2,2261.35,39
ITEM00008,ORD00279,PROD0146,5,6646.11,26
ITEM00009,ORD00193,PROD0437,1,3398.16,18
ITEM00010,ORD00114,PROD0327,4,5040.87,17
ITEM00011,ORD00638,PROD0252,2,2420.86,9
ITEM00012,ORD00051,PROD0497,5,808.41,6
ITEM00013,ORD00289,PROD0138,-2,3140.02,46
ITEM00014,ORD00009,PROD0120,1,4706.39,31
ITEM00015,ORD00223,PROD0176,4,4305.92,31
ITEM00016,ORD00381,PROD0238,1,6535.29,48
ITEM00017,ORD00150,PROD0029,3,7127.09,4
ITEM00018,ORD00557,PROD0241,2,5669.81,16
ITEM00019,ORD00391,PROD0425,1,5897.98,49
ITEM00020,ORD00255,PROD0198,4,3366.13,2
ITEM00021,ORD00204,PROD0236,1,1061.57,13
ITEM00022,ORD00485,PROD0200,3,1638.77,10
ITEM00023,ORD00645,PROD0373,1,603.07,35
ITEM00024,ORD00534,PROD0063,3,5471.75,19
ITEM00025,ORD00204,PROD0185,1,3951.29,13
ITEM00026,ORD00116,PROD0121,4,3236.23,10
ITEM00027,ORD00283,PROD0300,1,5550.16,15
ITEM00028,ORD00010,PROD0497,1,957.92,44
ITEM00029,ORD00487,PROD0353,5,3853.68,49
ITEM00030,ORD00092,PROD0128,2,4482.81,43
ITEM00031,ORD00634,PROD0174,1,1184.77,41
ITEM00032,ORD00158,PROD0360,5,1524.82,8
ITEM00033,ORD00500,PROD0120,3,5947.7,50
ITEM00034,ORD00661,PROD0388,3,7450.61,28
ITEM00035,ORD00198,PROD0011,4,5545.5,8
ITEM00036,ORD00257,PROD0461,1,6580.96,28
ITEM00037,ORD00573,PROD0151,5,1288.51,12
ITEM00038,ORD00581,PROD0096,5,225.23,46
ITEM00039,ORD00480,PROD0141,5,1877.07,35
ITEM00040,ORD00165,PROD0036,5,2277.94,18
ITEM00041,ORD00270,PROD0278,-3,5336.04,49
ITEM00042,ORD00654,PROD0260,4,5733.57,1
ITEM00043,ORD00635,PROD0439,3,735.86,15
ITEM00044,ORD00329,PROD0370,1,5576.73,34
ITEM00045,ORD00397,PROD0098,5,6084.45,49
ITEM00046,ORD00565,PROD0079,5,4573.45,26
ITEM00047,ORD00657,PROD0165,1,5987.39,42
ITEM00048,ORD00069,PROD0023,2,570.6,2
