order_id,customer_id,region,status,order_date
ORD00001,CUST0434,South,CANCELLED,31-03-2026 20:12:19
ORD00002,CUST0551,South,RETURNED,2026-01-02 13:36:31
ORD00003,CUST0171,West,DELIVERED,2025-12-26 08:32:15
ORD00004,CUST0144,South,DELIVERED,2025-02-08 17:51:02
ORD00005,CUST0462,North,DELIVERED,2025-02-18 16:40:43
ORD00006,CUST0010,West,SHIPPED,2025-11-28 06:01:58
ORD00007,CUST0200,West,RETURNED,2026-02-09 15:04:42
ORD00008,CUST0518,West,CANCELLED,2025-08-29 18:04:38
ORD00009,CUST0504,West,CANCELLED,2026-04-01 19:12:12
ORD00010,CUST0501,South,PLACED,2025-02-06 09:07:23
ORD00011,CUST0579,North,SHIPPED,29-05-2025 07:00:13
ORD00012,CUST0300,North,DELIVERED,2024-12-05 14:30:11
ORD00013,CUST0231,East,SHIPPED,2026-05-06 11:58:32
ORD00014,CUST0469,West,RETURNED,2024-09-03 18:10:41
ORD00015,CUST0524,North,RETURNED,2024-12-01 06:14:01
ORD00016,CUST0117,East,RETURNED,2024-10-26 16:46:26
ORD00017,CUST0376,North,CANCELLED,2025-02-22 12:21:54
ORD00018,CUST0560,South,CANCELLED,2024-10-06 07:06:32
ORD00019,CUST0105,South,DELIVERED,2025-11-19 06:27:29
ORD00020,CUST0034,West,DELIVERED,2025-07-01 06:07:35
ORD00021,CUST0357,North,CANCELLED,2025-11-04 09:13:42
ORD00022,CUST0121,South,SHIPPED,2025-06-29 06:06:37
ORD00023,CUST0360,West,SHIPPED,2025-02-08 22:51:55
ORD00024,CUST0143,South,SHIPPED,2026-01-07 15:40:23
ORD00025,CUST0061,East,RETURNED,2025-11-08 06:53:21
ORD00026,CUST0288,South,DELIVERED,2025-07-29 17:23:16
ORD00027,,East,RETURNED,2024-12-05 10:33:59
ORD00028,CUST0274,North,SHIPPED,2025-03-18 15:08:59
ORD00029,CUST0422,North,DELIVERED,2024-07-27 15:28:26
ORD00030,,South,SHIPPED,2024-11-07 18:11:10
ORD00031,CUST0150,East,SHIPPED,2024-08-20 03:07:34
ORD00032,CUST0403,West,SHIPPED,2025-09-01 02:29:42
ORD00033,CUST0592,East,CANCELLED,2024-07-29 18:28:01
ORD00034,CUST0385,West,PLACED,2024-12-04 00:02:43
ORD00035,CUST0096,West,RETURNED,2024-09-30 00:26:00
ORD00036,,East,CANCELLED,2025-02-16 16:54:49
ORD00037,CUST0500,East,RETURNED,2025-02-06 16:04:42
ORD00038,CUST0003,North,CANCELLED,2024-10-17 16:49:01
ORD00039,CUST0367,North,RETURNED,2026-01-19 02:08:10
ORD00040,CUST0408,South,CANCELLED,2025-06-18 02:35:45
ORD00041,CUST0217,West,DELIVERED,2026-01-28 08:10:32
ORD00042,CUST0331,East,DELIVERED,2024-07-18 22:51:10
ORD00043,CUST0561,South,RETURNED,2025-01-09 09:49:11
ORD00044,CUST0497,East,PLACED,2024-09-20 15:18:40
ORD00045,CUST0048,North,CANCELLED,2024-11-06 14:51:54
ORD00046,CUST0017,North,SHIPPED,2024-07-24 00:24:30
ORD00047,CUST0452,West,PLACED,2025-07-30 22:54:26
ORD00048,CUST0439,South,SHIPPED,2024-12-28 06:35:48
