product_id,product_name,category,subcategory,cost_price
PROD0001,Dining Table,Home,Furniture,691.21
PROD0002,Kurti,Clothing,Women,3740.12
PROD0003,Jeans,Clothing,Men,3719.16
PROD0004,Lamp,Home,Decor,4904.5
PROD0005,Dress,Clothing,Women,1868.32
PROD0006,Pressure Cooker,Home,Kitchen,1444.13
PROD0007,Power Bank,Electronics,Accessories,3517.35
PROD0008,Kids Shoes,Clothing,Kids,602.68
PROD0009,Power Bank,Electronics,Accessories,2400.05
PROD0010,Mystery Novel,Books,Fiction,4830.94
PROD0011,Office Chair,Home,Furniture,4128.37
PROD0012,  Mystery Novel  ,Books,Fiction,2927.4
PROD0013,Galaxy S24,Electronics,Mobile,4074.6
PROD0014,Pressure Cooker,Home,Kitchen,680.41
PROD0015,  Manga Volume  ,Books,Comics,3974.63
PROD0016,Kids Shoes,Clothing,Kids,2307.52
PROD0017,Thriller Novel,Books,Fiction,4951.15
PROD0018,Wall Clock,Home,Decor,3087.19
PROD0019,Galaxy S24,Electronics,Mobile,1396.77
PROD0020,Galaxy S24,Electronics,Mobile,951.69
PROD0021,iPhone 15,Electronics,Mobile,2101.74
PROD0022,Mystery Novel,Books,Fiction,1234.23
PROD0023,mIRROR,Home,Decor,448.78
PROD0024,Sweater,Clothing,Women,3339.8
PROD0025,Kurti,Clothing,Women,2768.36
PROD0026,Dress,Clothing,Women,449.91
PROD0027,Sweater,Clothing,Women,3769.89
PROD0028,Office Chair,Home,Furniture,2396.62
PROD0029,Mirror,Home,Decor,4719.11
PROD0030,Mystery Novel,Books,Fiction,3030.38
PROD0031,Batman Comic,Books,Comics,3058.2
PROD0032,Galaxy S24,Electronics,Mobile,4813.36
PROD0033,Power Bank,Electronics,Accessories,2923.61
PROD0034,Sweater,Clothing,Women,3292.4
PROD0035,Frying Pan,Home,Kitchen,3210.45
PROD0036,DBMS,Books,Education,1805.01
PROD0037,Office Chair,Home,Furniture,4302.89
PROD0038,Sofa,Home,Furniture,1512.27
PROD0039,Marvel Comic,Books,Comics,2328.65
PROD0040,Bookshelf,Home,Furniture,668.02
PROD0041,Marvel Comic,Books,Comics,3322.54
PROD0042,Mystery Novel,Books,Fiction,1019.15
PROD0043,Mirror,Home,Decor,3164.5
PROD0044,OnePlus 13,Electronics,Mobile,2791.18
PROD0045,Sofa,Home,Furniture,694.99
PROD0046,Kids Shorts,Clothing,Kids,1622.68
PROD0047,USB Hub,Electronics,Accessories,556.73
PROD0048,MacBook Air,Electronics,Laptop,3273.78
PROD0049,Top,Clothing,Women,2593.47
PROD0050,Sofa,Home,Furniture,4903.2
PROD0051,Sweater,Clothing,Women,808.75
PROD0052,Kids Shorts,Clothing,Kids,4333.73
PROD0053,Bookshelf,Home,Furniture,4677.82
PROD0054,Knife Set,Home,Kitchen,3657.65
PROD0055,DBMS,Books,Education,2739.04
PROD0056,  Sofa  ,Home,Furniture,2331.19
